# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.012080 .00104
0.001996 .00082
0.000165 .00131
0.001816 .00128
0.005394 .00167
0.001619 .00152
0.000371 .00217
0.000037 .00232
0.000002 .00181
0.000223 .00106
0.000915 .00113
0.000624 .00128
0.000064 .00092
0.021500 .00052
0.001107 .00072
0.016312 .00042
0.009905 .00043
0.008948 .00074
0.031091 .00024
0.017923 .00055
0.002073 .00096
0.006779 .00102
0.013759 .00041
0.015235 .00083
0.006975 .00117
0.002833 .00090
0.000186 .00118
0.010261 .00119
0.006499 .00090
0.000092 .00108
0.023943 .00044
0.000017 .00135
0.000167 .00057
0.007064 .00013
0.001355 .00090
0.000851 .00106
0.001511 .00068
0.001535 .00042
0.004006 .00043
0.001714 .00068
0.000463 .00085
0.003378 .00101
0.000005 .00121
0.000052 .00062
0.000156 .00028
0.003980 .00020
0.000022 .00040
0.011166 .00069
0.003206 .00103
0.000161 .00102
0.000079 .00053
0.000273 .00025
0.000001 .00099
0.000152 .00053
0.000544 .00013
0.000068 .00014
0.003563 .00028
0.000021 .00083
0.000074 .00089
0.000005 .00001
0.000434 0
0.002287 .00046
0.019362 .00074
0.002797 .00117
0.002029 .00091
0.004386 .00034
0.012327 .00069
0.000025 .00035
0.000474 .00004
0.002499 .00019
0.011602 .00108
0.005714 .00020
0.025596 .00079
0.024039 .00035
0.000654 .00072
0.004454 .00069
0.018503 .00069
0.000550 .00076
0.029427 .00096
0.027238 .00043
0.000970 .00102
0.048302 .00057
0.009891 .00112
0.000042 .00073
0.026793 0
0.020328 .00112
0.002960 .00073
0.038185 .00056
0.024432 .00061
0.010500 .00039
0.020293 .00035
0.013236 .00038
0.011604 .00073
0.003298 .00038
0.024399 .00053
0.021067 .00039
0.008834 .00051
0.000184 .00039
0.000163 .00004
0.004380 .00048
0.000325 .00047
0.003989 .00053
0.006512 .00011
0.006851 .00006
0.015906 .00031
0.002570 .00003
0.000967 .00023
0.012916 .00008
0.000857 0
0.000289 0
0.010713 .00032
0.005690 .00030
0.000683 .00049
0.006068 .00059
0.019998 .00052
0.018243 .00057
0.007685 .00031
0.005711 .00023
0.001826 .00072
0.000034 .00080
0.013691 .00065
0.035719 .00094
0.002573 .00096
0.003756 .00068
0.014510 .00071
0.010800 .00082
0.000565 .00057
0.016433 .00044
0.019637 .00097
0.002149 .00087
0.004072 .00072
0.001522 .00052
0.027739 .00092
0.005851 .00153
0.027520 .00073
0.003742 .00052
